Sensor,0,4,wrist,Orientation
Sensor,1,4,palm,Orientation
Sensor,2,4,thumb,Orientation
Sensor,3,4,index,Orientation
Sensor,4,4,mid,Orientation
Sensor,5,4,ring,Orientation
Sensor,6,4,pinky,Orientation
16,0,0.6195068359375,-0.4598388671875,-0.4588623046875,0.44068682960499295
17,0,0.23175048828125,-0.22235107421875,-0.2618408203125,0.9101049916318705
18,0,0.2794189453125,-0.06494140625,-0.2000732421875,0.9368448988574921
19,0,0.11993408203125,-0.18255615234375,-0.15460205078125,0.9635285533407916
20,3,0.810791015625,-0.1209716796875,-0.31732177734375,0.4767501141255967
21,3,0.82305908203125,-0.2249755859375,-0.188720703125,0.4861524754950449
22,3,0.23175048828125,-0.22235107421875,-0.2618408203125,0.9101049916318705
16,10,0.61883544921875,-0.46087646484375,-0.45587158203125,0.4436402502475185
17,10,0.206298828125,-0.209716796875,-0.26666259765625,0.9177966646452593
18,10,0.27520751953125,-0.06451416015625,-0.20147705078125,0.9378196747463128
19,10,0.09808349609375,-0.16424560546875,-0.162353515625,0.9680105086425632
20,14,0.81072998046875,-0.11151123046875,-0.32666015625,0.47283748430852135
21,14,0.82171630859375,-0.218505859375,-0.178955078125,0.4949874519855315
22,14,0.18267822265625,-0.2032470703125,-0.27142333984375,0.9228481272477088
16,21,0.61810302734375,-0.46197509765625,-0.45263671875,0.4468194910399759
17,21,0.18267822265625,-0.2032470703125,-0.27142333984375,0.9228481272477088
18,21,0.267333984375,-0.0709228515625,-0.19866943359375,0.940230262265563
19,21,0.07366943359375,-0.1527099609375,-0.16168212890625,0.9721683864314793
20,24,0.80987548828125,-0.10418701171875,-0.33648681640625,0.46906650110097453
21,24,0.82257080078125,-0.21099853515625,-0.1754150390625,0.49808278421835805
22,24,0.16094970703125,-0.19940185546875,-0.279052734375,0.925453220470927
16,31,0.61737060546875,-0.46307373046875,-0.44915771484375,0.45019285073093407
17,31,0.16094970703125,-0.19940185546875,-0.279052734375,0.925453220470927
18,31,0.25555419921875,-0.0771484375,-0.1947021484375,0.9438385684251274
19,31,0.06011962890625,-0.13983154296875,-0.15460205078125,0.9761818353695101
20,38,0.80902099609375,-0.09735107421875,-0.337646484375,0.47117156940665983
21,38,0.82379150390625,-0.20428466796875,-0.17791748046875,0.4979766085554907
22,38,0.14251708984375,-0.1968994140625,-0.29119873046875,0.9252690415320838
16,44,0.6165771484375,-0.4642333984375,-0.44537353515625,0.4538307900333284
17,44,0.14251708984375,-0.1968994140625,-0.29119873046875,0.9252690415320838
18,44,0.22174072265625,-0.07659912109375,-0.183837890625,0.9545508140136384
19,44,0.05462646484375,-0.14300537109375,-0.13128662109375,0.9794535396325849
20,49,0.80718994140625,-0.0933837890625,-0.33306884765625,0.4783189408269789
21,49,0.82415771484375,-0.2025146484375,-0.18109130859375,0.49694850455914147
22,49,0.1236572265625,-0.20404052734375,-0.30047607421875,0.9234665572408365
16,53,0.61590576171875,-0.46539306640625,-0.4415283203125,0.4572987303553953
17,53,0.1236572265625,-0.20404052734375,-0.30047607421875,0.9234665572408365
18,53,0.19989013671875,-0.0684814453125,-0.18157958984375,0.9604077662340336
19,53,0.04949951171875,-0.17572021484375,-0.12139892578125,0.9756713100496653
20,59,0.80267333984375,-0.09466552734375,-0.33135986328125,0.48677981515572405
21,59,0.8218994140625,-0.2059326171875,-0.18621826171875,0.49738905229656283
22,59,0.1033935546875,-0.2191162109375,-0.30450439453125,0.9211812702528384
16,66,0.61517333984375,-0.466552734375,-0.4375,0.46095993100561006
17,66,0.1033935546875,-0.2191162109375,-0.30450439453125,0.9211812702528384
18,66,0.17486572265625,-0.0643310546875,-0.1793212890625,0.9659851809068629
19,66,0.04962158203125,-0.21881103515625,-0.11407470703125,0.9678049342229563
20,68,0.79541015625,-0.115234375,-0.34014892578125,0.4882032675459799
21,68,0.81744384765625,-0.21319580078125,-0.19439697265625,0.49854079419870173
22,68,0.085693359375,-0.23565673828125,-0.30438232421875,0.9189526378246385
16,72,0.61334228515625,-0.46917724609375,-0.42901611328125,0.46864605784348995
17,72,0.085693359375,-0.23565673828125,-0.30438232421875,0.9189526378246385
18,72,0.14935302734375,-0.06939697265625,-0.17340087890625,0.970983969282678
19,72,0.066162109375,-0.2532958984375,-0.10845947265625,0.959010065593119
20,79,0.79541015625,-0.115234375,-0.34014892578125,0.4882032675459799
21,79,0.81298828125,-0.2227783203125,-0.20526123046875,0.497280305074881
22,79,0.075927734375,-0.247802734375,-0.302001953125,0.9174004601577427
16,83,0.61212158203125,-0.4703369140625,-0.42437744140625,0.47328019534648713
17,83,0.075927734375,-0.247802734375,-0.302001953125,0.9174004601577427
18,83,0.12713623046875,-0.08026123046875,-0.1627197265625,0.9751496317864579
19,83,0.08251953125,-0.28741455078125,-0.1026611328125,0.9487065377508194
20,89,0.79168701171875,-0.1322021484375,-0.34710693359375,0.4850474657963786
21,89,0.8092041015625,-0.234130859375,-0.2200927734375,0.4918644465534589
22,89,0.075439453125,-0.25579833984375,-0.30206298828125,0.9152234969426778
16,93,0.610595703125,-0.47125244140625,-0.41943359375,0.47871649671584926
17,93,0.075439453125,-0.25579833984375,-0.30206298828125,0.9152234969426778
18,93,0.11138916015625,-0.09149169921875,-0.15130615234375,0.9779203302093075
19,93,0.09735107421875,-0.31304931640625,-0.09161376953125,0.9402817721716773
